Author,Title,Review,Rating,Dates,Restaurant
"F8167KNsimonwWargrave, United Kingdom",Lovely food ! ,"Well deserving of its reputation. A little out of the centre but worth the trip (and if, like me, you’re catching the bus from the Ramada Plaza, it’s the perfect location). I had squid and the fried snapper, both of which arrived quickly and were delicious. Spicy with the sauce which suited me but they did check how I wanted it! The staff are friendly and attentive. Nice modern vibe inside and a performance space which I’m sure makes for a fun evening! Show less",5,Reviewed 8 May 2019 ,Bulldog
lavnyan,Good food,"Food was tasty. Go early as food finishes fast. 
Authentic nyonya food
Try the sambal chicken, it was very tasty",4,Reviewed 24 April 2019 ,Bulldog
Camille HChicago,Hipster meets nyonya,"We had dinner at Bulldog years ago and we made it our first food destination on our return to Melaka. The concrete floor is still there, the fountain has been replaced with a platform for live music on the weekend, but what remains is what we enjoyed last time: solid, good food (the restaurant has an A rating), ice cold beer and real drinks (gin&tonic), and a wonderful, attentive staff. The nyonya food was delicious, well prepared, and cendol was as good as everyone says it is.Show less",4,Reviewed 11 April 2019 ,Bulldog
yychoo,Nice surprise!,"We found this place on TripAdvisor and it also turned out to be near our hotel Treasures. The food was great, especially their Nyonya style laksa! The ambience & decor is lovely & modern, and the service was just excellent! We had lunch here, and if there’s a next time, I would love to go here for dinner!Show less",5,Reviewed 4 April 2019 ,Bulldog
serenechew,Wonderful dinner!!,"The food here is excellent and simply delicious and the staff are attentive, polite and efficient. 
Cosy and pleasant ambience...lovely framed up collages of newspaper clippings from the '60's (and even earlier years) adorn the walls.",5,Reviewed 27 March 2019 ,Bulldog
KatherineC2645,"Nice decor, friendly staff",A place to enjoy authentic Nyonya food on the contemporary renovated restaurant. Very friendly staff but food portion is a lil' small.,4,Reviewed 11 March 2019 ,Bulldog
"1john316Singapore, Singapore",Chendol was outstanding,"Had dinner there on recommendation of friend. Ordered 4 items: chinchalok omelette, sambal lady fingers, ayam limau perut, and chendol. Here's my feedback: chinchalok omelette - quite good, fluffy and moist inside; sambal lady fingers - the lady fingers too old; ayam limau perut - chicken is quite tender, but hardly any fragrance from limau perut; chendol - excellent, soft crush ice and creamy gula melaka. Staff was friendly and attentive.Show less",4,Reviewed 11 March 2019 ,Bulldog
LouiseDenBosch,Nyonya laksa to die for!,"Excellent Nyonya laksa for only 10RM. Unbelievable! A bit spicy, but I love that. Very friendly waiters also. 1 minute from the Ramada hotel. Go there!!",5,Reviewed 16 February 2019 ,Bulldog
"Mark BPerth, Australia",Fresh and proud of it,"Went for a quick late night snack on way back to hotel on our last night - wish we’d found it earlier. Nice trendy place, attentive and friendly service. Chicken wings were marvellous, fried sausage good but needed more chilli for me. But wait....Che dolce to die for. We tried Chendol all over Melaka and this stood head and shoulders above the rest. Soft, crash, bright green Pandan in a beautiful creamy gula and perfect granita. YUM. Show less",5,Reviewed 15 February 2019 ,Bulldog
"laviosarMelaka, Malaysia",Great Evening Celebration ,"Been to Bulldog a few times, loves their food so much and decided to have my daughter and FIL’s birthday celebration there. Luckily have booked a table earlier, the restaurant was totally filled up. They have their CNY menu, even though the menu is small but all the Nyonya Signature dishes was all in!! Loves their Itik Tim, Sambal Sotong and Udang Lemak Nenas!!As a food lover, you can know they do not skimp on the spices and ingredients for all dishes. Price wise definitely reasonable with good value. Friendly and helpful crew. you guys rocks and did a very great job. Keep it up and see you all next time. Show less",5,Reviewed 10 February 2019 ,Bulldog
